Fecha,Categoría,Producto,Cantidad Vendida,Precio Unitario
2024-05-24,Juguetes,Auto a control,2,176795
2024-04-29,Juguetes,Auto a control,6,212211
2024-05-16,Ropa,Polera,10,269402
2024-05-24,Deportes,Balón,6,243466
2024-04-30,Electrónica,Notebook,4,288691
2024-05-03,Electrónica,Smartphone,3,126411
2024-05-04,Juguetes,Auto a control,9,153179
2024-05-19,Hogar,Lámpara,5,59153
2024-04-20,Electrónica,Smartphone,2,229086
2024-05-23,Ropa,Polera,10,62942
2024-04-21,Ropa,Polera,8,263896
2024-04-30,Electrónica,Notebook,5,216794
2024-03-08,Ropa,Polera,10,208224
2024-05-07,Electrónica,Smartphone,4,93945
2024-04-16,Hogar,Silla,4,156197
2024-05-09,Juguetes,Muñeca,1,48979
2024-04-13,Hogar,Mesa,3,21671
2024-03-31,Ropa,Chaqueta,6,29165
2024-05-23,Deportes,Balón,1,162378
2024-03-26,Electrónica,Tablet,3,262585
2024-03-05,Hogar,Silla,6,236643
2024-03-06,Electrónica,Smartphone,4,143031
2024-05-15,Juguetes,Puzzle,6,217141
2024-03-22,Deportes,Pesas,10,98854
2024-03-06,Deportes,Balón,6,47459
2024-04-21,Deportes,Balón,6,88079
2024-03-18,Hogar,Lámpara,7,207728
2024-04-27,Ropa,Polera,1,291601
2024-03-22,Juguetes,Muñeca,1,94241
2024-04-13,Juguetes,Puzzle,5,274538
2024-03-07,Hogar,Lámpara,1,206330
2024-03-16,Ropa,Pantalón,7,114375
2024-04-03,Hogar,Mesa,6,258063
2024-03-06,Hogar,Lámpara,8,202931
2024-04-30,Hogar,Silla,6,32084
2024-03-20,Juguetes,Puzzle,4,76931
2024-03-08,Juguetes,Puzzle,8,147117
2024-04-30,Deportes,Pesas,5,188233
2024-04-19,Hogar,Lámpara,6,202450
2024-04-16,Hogar,Mesa,8,245771
2024-05-05,Ropa,Pantalón,9,169465
2024-04-21,Ropa,Chaqueta,2,239240
2024-03-31,Hogar,Mesa,7,231359
2024-03-30,Juguetes,Muñeca,3,256687
2024-04-16,Electrónica,Tablet,8,53812
2024-03-18,Deportes,Pesas,3,42200
2024-03-14,Hogar,Mesa,5,137339
