order_id,order_date,product_id,quantity,channel
ST00001,2025-06-07,1005,5,Store
ST00002,2025-06-13,1006,1,Store
ST00003,2025-06-17,1005,2,Store
ST00004,2025-06-21,1009,2,Store
ST00005,2025-06-02,1002,4,Store
ST00006,2025-06-16,1002,1,Store
ST00007,2025-06-30,1004,4,Store
ST00008,2025-06-29,1006,1,Store
ST00009,2025-06-04,1005,2,Store
ST00010,2025-06-20,1001,2,Store
ST00011,2025-06-30,1010,2,Store
ST00012,2025-06-17,1002,3,Store
ST00013,2025-06-20,1003,4,Store
ST00014,2025-06-04,1005,1,Store
ST00015,2025-06-12,1010,5,Store
ST00016,2025-06-12,1004,1,Store
ST00017,2025-06-02,1006,2,Store
ST00018,2025-06-02,1004,3,Store
ST00019,2025-06-27,1010,2,Store
ST00020,2025-06-14,1001,3,Store
ST00021,2025-06-20,1006,2,Store
ST00022,2025-06-07,1005,1,Store
ST00023,2025-06-18,1001,4,Store
ST00024,2025-06-14,1008,1,Store
ST00025,2025-06-22,1002,4,Store
ST00026,2025-06-21,1009,2,Store
ST00027,2025-06-21,1009,1,Store
ST00028,2025-06-23,1003,4,Store
ST00029,2025-06-10,1005,4,Store
ST00030,2025-06-02,1005,4,Store
ST00031,2025-06-29,1005,5,Store
ST00032,2025-06-14,1006,4,Store
ST00033,2025-06-21,1001,3,Store
ST00034,2025-06-24,1004,4,Store
ST00035,2025-06-01,1007,2,Store
ST00036,2025-06-14,1007,2,Store
ST00037,2025-06-13,1002,1,Store
ST00038,2025-06-15,1010,3,Store
ST00039,2025-06-01,1003,2,Store
ST00040,2025-06-05,1001,5,Store
ST00041,2025-06-19,1007,1,Store
ST00042,2025-06-24,1010,3,Store
ST00043,2025-06-05,1009,2,Store
ST00044,2025-06-06,1006,3,Store
ST00045,2025-06-30,1009,2,Store
ST00046,2025-06-13,1002,1,Store
ST00047,2025-06-10,1008,2,Store
ST00048,2025-06-30,1003,1,Store
ST00049,2025-06-02,1008,3,Store
ST00050,2025-06-03,1010,4,Store
ST00051,2025-06-21,1010,2,Store
ST00052,2025-06-13,1004,5,Store
ST00053,2025-06-27,1010,2,Store
ST00054,2025-06-19,1008,2,Store
ST00055,2025-06-13,1004,1,Store
ST00056,2025-06-13,1009,2,Store
ST00057,2025-06-05,1006,1,Store
ST00058,2025-06-02,1004,2,Store
ST00059,2025-06-22,1009,1,Store
ST00060,2025-06-13,1006,1,Store
ST00061,2025-06-18,1010,4,Store
ST00062,2025-06-10,1005,4,Store
ST00063,2025-06-14,1010,2,Store
ST00064,2025-06-15,1007,3,Store
ST00065,2025-06-06,1009,4,Store
ST00066,2025-06-20,1001,1,Store
ST00067,2025-06-08,1008,4,Store
ST00068,2025-06-25,1008,5,Store
ST00069,2025-06-26,1008,2,Store
ST00070,2025-06-04,1008,4,Store
ST00071,2025-06-12,1002,2,Store
ST00072,2025-06-03,1007,3,Store
ST00073,2025-06-17,1008,5,Store
ST00074,2025-06-21,1001,1,Store
ST00075,2025-06-30,1003,1,Store
ST00076,2025-06-03,1006,5,Store
ST00077,2025-06-29,1001,5,Store
ST00078,2025-06-01,1007,2,Store
ST00079,2025-06-24,1002,5,Store
ST00080,2025-06-05,1002,2,Store
ST00081,2025-06-26,1008,3,Store
ST00082,2025-06-03,1003,2,Store
ST00083,2025-06-25,1006,5,Store
ST00084,2025-06-11,1005,2,Store
ST00085,2025-06-29,1010,3,Store
ST00086,2025-06-09,1008,2,Store
ST00087,2025-06-07,1009,4,Store
ST00088,2025-06-20,1010,3,Store
ST00089,2025-06-11,1009,2,Store
ST00090,2025-06-07,1006,1,Store
ST00091,2025-06-06,1003,4,Store
ST00092,2025-06-29,1005,3,Store
ST00093,2025-06-26,1007,2,Store
ST00094,2025-06-25,1005,1,Store
ST00095,2025-06-21,1009,1,Store
ST00096,2025-06-18,1006,4,Store
ST00097,2025-06-23,1009,5,Store
ST00098,2025-06-18,1002,3,Store
ST00099,2025-06-09,1007,3,Store
ST00100,2025-06-19,1007,3,Store
ST00101,2025-06-11,1003,3,Store
ST00102,2025-06-08,1002,4,Store
ST00103,2025-06-24,1003,5,Store
ST00104,2025-06-27,1001,3,Store
ST00105,2025-06-10,1009,3,Store
ST00106,2025-06-24,1010,3,Store
ST00107,2025-06-08,1001,1,Store
ST00108,2025-06-20,1003,3,Store
ST00109,2025-06-17,1007,4,Store
ST00110,2025-06-05,1006,1,Store
ST00111,2025-06-20,1008,2,Store
ST00112,2025-06-02,1001,1,Store
ST00113,2025-06-12,1001,5,Store
ST00114,2025-06-17,1005,1,Store
ST00115,2025-06-08,1006,5,Store
ST00116,2025-06-10,1007,5,Store
ST00117,2025-06-07,1010,2,Store
ST00118,2025-06-27,1006,5,Store
ST00119,2025-06-05,1008,2,Store
ST00120,2025-06-23,1001,2,Store
ST00121,2025-06-04,1003,4,Store
ST00122,2025-06-28,1002,2,Store
ST00123,2025-06-26,1005,4,Store
ST00124,2025-06-02,1005,1,Store
ST00125,2025-06-20,1009,3,Store
ST00126,2025-06-20,1010,4,Store
ST00127,2025-06-08,1009,4,Store
ST00128,2025-06-02,1003,1,Store
ST00129,2025-06-01,1001,5,Store
ST00130,2025-06-08,1007,2,Store
ST00131,2025-06-30,1003,1,Store
ST00132,2025-06-20,1002,1,Store
ST00133,2025-06-05,1009,2,Store
ST00134,2025-06-17,1007,2,Store
ST00135,2025-06-21,1010,5,Store
ST00136,2025-06-06,1007,5,Store
ST00137,2025-06-03,1009,3,Store
ST00138,2025-06-29,1005,1,Store
ST00139,2025-06-01,1008,5,Store
ST00140,2025-06-24,1007,4,Store
ST00141,2025-06-24,1008,1,Store
ST00142,2025-06-08,1008,2,Store
ST00143,2025-06-08,1002,3,Store
ST00144,2025-06-11,1001,1,Store
ST00145,2025-06-09,1005,1,Store
ST00146,2025-06-22,1009,4,Store
ST00147,2025-06-10,1009,3,Store
ST00148,2025-06-29,1004,1,Store
ST00149,2025-06-06,1009,1,Store
ST00150,2025-06-27,1005,2,Store
ST00151,2025-06-24,1004,2,Store
ST00152,2025-06-29,1006,2,Store
ST00153,2025-06-20,1007,3,Store
ST00154,2025-06-30,1004,4,Store
ST00155,2025-06-16,1009,4,Store
ST00156,2025-06-28,1009,1,Store
ST00157,2025-06-24,1001,4,Store
ST00158,2025-06-29,1004,5,Store
ST00159,2025-06-13,1005,2,Store
ST00160,2025-06-03,1010,5,Store
ST00161,2025-06-05,1010,2,Store
ST00162,2025-06-04,1001,1,Store
ST00163,2025-06-30,1002,5,Store
ST00164,2025-06-05,1003,3,Store
ST00165,2025-06-02,1001,1,Store
ST00166,2025-06-23,1003,1,Store
ST00167,2025-06-03,1002,1,Store
ST00168,2025-06-07,1010,3,Store
